model,condition,flattening,triplet_accuracy,triplet_accuracy_lo,triplet_accuracy_hi,mean_cosine_gap,mean_cosine_gap_lo,mean_cosine_gap_hi,n_items
E5-large,english_pivot,non_flattening,1.0,1.0,1.0,0.04889535903930664,0.03385418653488159,0.07457876205444336,3
E5-large,english_pivot,partial,0.5096153846153846,0.4423076923076923,0.5769230769230769,0.00691344073185554,0.0028168293647468094,0.01111922868742392,208
E5-large,english_pivot,strong,0.01,0.0025,0.02,-0.025658840239048006,-0.028190304227173328,-0.02296907296404243,400
E5-large,native,non_flattening,0.0,0.0,0.0,-0.013205210367838541,-0.0263252854347229,-0.005944371223449707,3
E5-large,native,partial,0.4326923076923077,0.36538461538461536,0.5,-0.003470451212846316,-0.005591897967343148,-0.0013471120466979662,208
E5-large,native,strong,0.465,0.4175,0.5125,-0.001371719241142273,-0.003219097688794136,0.0005789872333407379,400
E5-multi,english_pivot,non_flattening,0.6666666666666666,0.0,1.0,0.035523414611816406,-0.0032005906105041504,0.0714491605758667,3
E5-multi,english_pivot,partial,0.4855769230769231,0.4182692307692308,0.5528846153846154,0.003622458244745548,0.0004075018187554983,0.006944304611533877,208
E5-multi,english_pivot,strong,0.0075,0.0,0.0175,-0.030842561423778534,-0.033234485164284705,-0.028501382395625118,400
E5-multi,native,non_flattening,0.0,0.0,0.0,-0.011565526326497396,-0.01875019073486328,-0.005658745765686035,3
E5-multi,native,partial,0.38461538461538464,0.32211538461538464,0.4519230769230769,-0.003414332866668701,-0.0055124199949204925,-0.0012378914066805294,208
E5-multi,native,strong,0.3875,0.3425,0.435,-0.0066863372921943665,-0.009284863088279964,-0.0039006956778466755,400
LaBSE,english_pivot,non_flattening,0.3333333333333333,0.0,1.0,0.00880730152130127,-0.08189696073532104,0.10917890071868896,3
LaBSE,english_pivot,partial,0.42788461538461536,0.3605769230769231,0.4951923076923077,-0.022623943308225043,-0.03587335743583166,-0.009160352061287725,208
LaBSE,english_pivot,strong,0.01,0.0025,0.02,-0.06949517238885164,-0.07770678334217518,-0.060621983806602664,400
LaBSE,native,non_flattening,0.0,0.0,0.0,-0.09067386388778687,-0.11604630947113037,-0.07312321662902832,3
LaBSE,native,partial,0.3942307692307692,0.3317307692307692,0.46153846153846156,-0.03738070967105719,-0.04619749420537399,-0.028805964354139114,208
LaBSE,native,strong,0.355,0.31,0.4025,-0.01883292809128761,-0.025548159543424844,-0.01187964054942132,400
MiniLM-en,english_pivot,non_flattening,1.0,1.0,1.0,0.19594951470692953,0.12600010633468628,0.29835981130599976,3
MiniLM-en,english_pivot,partial,0.38461538461538464,0.32211538461538464,0.4519230769230769,0.011682079961666694,-0.0019317277420598726,0.02583575942911781,208
MiniLM-en,english_pivot,strong,0.0,0.0,0.0,-0.15457224436104297,-0.1669783788770437,-0.14247638361901047,400
MiniLM-multi,english_pivot,non_flattening,1.0,1.0,1.0,0.20942660172780356,0.13238120079040527,0.2993276119232178,3
MiniLM-multi,english_pivot,partial,0.4182692307692308,0.3557692307692308,0.4855769230769231,0.012360481975170283,-0.000889875474744118,0.025689243818991455,208
MiniLM-multi,english_pivot,strong,0.0025,0.0,0.0075,-0.11394886434078216,-0.12437162593007088,-0.10376352959871292,400
MiniLM-multi,native,non_flattening,0.0,0.0,0.0,-0.08222643534342448,-0.1963808536529541,-0.021183788776397705,3
MiniLM-multi,native,partial,0.34615384615384615,0.28365384615384615,0.41346153846153844,-0.024013703259137962,-0.03335267613426997,-0.014988976831619559,208
MiniLM-multi,native,strong,0.2525,0.21243750000000003,0.295,-0.046416026800870896,-0.0572318079508841,-0.03535638159140945,400
TF-IDF,english_pivot,non_flattening,1.0,1.0,1.0,0.14303352591438034,0.02478699155807751,0.2310042785838997,3
TF-IDF,english_pivot,partial,0.3125,0.2548076923076923,0.375,-0.06150802794996132,-0.09225157311581275,-0.030563589155492846,208
TF-IDF,english_pivot,strong,0.015,0.005,0.0275,-0.42385193595155923,-0.4462732308280625,-0.4007694559613086,400
TF-IDF,native,non_flattening,0.0,0.0,0.0,-0.22711049137589487,-0.3433131306085908,-0.01697320346048503,3
TF-IDF,native,partial,0.04326923076923077,0.019230769230769232,0.07211538461538461,-0.1960963683587846,-0.21917748606263057,-0.17391350325723043,208
TF-IDF,native,strong,0.1925,0.155,0.2325,-0.1812041140805732,-0.20207361158935933,-0.15981203984655173,400
bge-m3,english_pivot,non_flattening,1.0,1.0,1.0,0.08571469783782959,0.011946380138397217,0.13803249597549438,3
bge-m3,english_pivot,partial,0.4855769230769231,0.4182692307692308,0.5528846153846154,0.007200787417017496,-0.0016996380586463671,0.0180585562251508,208
bge-m3,english_pivot,strong,0.005,0.0,0.0125,-0.05384801782667637,-0.061183066420257094,-0.04565467769280078,400
bge-m3,native,non_flattening,0.0,0.0,0.0,-0.026237090428670246,-0.05766785144805908,-0.004079580307006836,3
bge-m3,native,partial,0.44711538461538464,0.3798076923076923,0.5144230769230769,-0.001812842029791612,-0.00801194108879337,0.004331842573502886,208
bge-m3,native,strong,0.59,0.5425,0.6375,0.01953132137656212,0.011899477928876877,0.027571360524743786,400
